차수|경위|사육두수|신고일|확진일|X|Y|px|py
94|신고|28|2023-11-13|2023-11-14|128.1558547|36.0910042|1059043.035|1788426.274
95|신고|43|2023-11-13|2023-11-14|127.4739106|36.7239278|997670.3024|1858432.794
96|예찰|8|2023-11-13|2023-11-14|126.5679637|35.423458|915389.3899|1714588.474
97|예찰|30|2023-11-13|2023-11-14|126.5183854|35.5132777|910987.5535|1724593.961
98|예찰|38|2023-11-14|2023-11-15|126.493075|35.4867727|908662.3355|1721677.404
99|예찰|4|2023-11-15|2023-11-16|126.5954728|35.4194729|917882.7018|1714123.291
100|신고|109|2023-11-15|2023-11-16|126.9709156|36.3286602|952513.3229|1814717.546
101|신고|147|2023-11-15|2023-11-16|126.5930821|35.452469|917699.2446|1717784.837
102|신고|48|2023-11-16|2023-11-17|126.8857891|36.2903794|944845.9649|1810516.514
103|신고|50|2023-11-16|2023-11-17|127.2734559|35.6877497|979501.9163|1743524.854
104|신고|21|2023-11-17|2023-11-18|127.4600782|36.721685|996435.0108|1858184.43
105|신고|10|2023-11-17|2023-11-18|126.4885303|35.4952511|908259.7128|1722621.967
106|신고|32|2023-11-18|2023-11-19|128.4213057|38.3867716|1080462.307|2043316.258
107|신고|67|2023-11-20|2023-11-20|128.5041404|36.6266842|1089780.686|1848114.908
